Running loss: 0.35476037859916687, z loss: 0.17700769007205963, y loss: 0.17775267362594604
Running loss: 0.6180398464202881, z loss: 0.31617218255996704, y loss: 0.30186766386032104
Running loss: 0.866383969783783, z loss: 0.4422081708908081, y loss: 0.42417579889297485
Running loss: 1.0922425985336304, z loss: 0.5499993562698364, y loss: 0.5422431826591492
Running loss: 1.3197617530822754, z loss: 0.6512340903282166, y loss: 0.6685275435447693
Running loss: 1.5332400798797607, z loss: 0.7636305689811707, y loss: 0.7696095705032349
Running loss: 1.6828147172927856, z loss: 0.8451026678085327, y loss: 0.8377120494842529
Running loss: 1.8165820837020874, z loss: 0.9029653072357178, y loss: 0.9136168360710144
Running loss: 1.92826247215271, z loss: 0.9622732400894165, y loss: 0.9659892320632935
Running loss: 2.013040542602539, z loss: 0.973270058631897, y loss: 1.0397703647613525
Running loss: 2.090052843093872, z loss: 1.0135475397109985, y loss: 1.0765050649642944
Running loss: 2.160695791244507, z loss: 1.0320930480957031, y loss: 1.1286025047302246
Running loss: 2.2227694988250732, z loss: 1.0652053356170654, y loss: 1.1575638055801392
Running loss: 2.2515504360198975, z loss: 1.0594274997711182, y loss: 1.192122459411621
Running loss: 2.2651162147521973, z loss: 1.0552364587783813, y loss: 1.2098792791366577
Running loss: 2.2834067344665527, z loss: 1.0408928394317627, y loss: 1.2425135374069214
Running loss: 2.283242702484131, z loss: 1.024059772491455, y loss: 1.2591825723648071
Running loss: 2.25870418548584, z loss: 0.9841627478599548, y loss: 1.2745412588119507
Running loss: 2.2412426471710205, z loss: 0.9636750817298889, y loss: 1.2775672674179077
Running loss: 2.223470687866211, z loss: 0.9484196901321411, y loss: 1.2750508785247803
Running loss: 2.2202224731445312, z loss: 0.9495986700057983, y loss: 1.2706235647201538
Running loss: 2.2119805812835693, z loss: 0.9408894181251526, y loss: 1.2710908651351929
Running loss: 2.1776514053344727, z loss: 0.9336707592010498, y loss: 1.2439801692962646
Running loss: 2.128953218460083, z loss: 0.9106441140174866, y loss: 1.218308925628662
Running loss: 2.0900039672851562, z loss: 0.8867514729499817, y loss: 1.2032523155212402
Running loss: 2.0769670009613037, z loss: 0.8840664625167847, y loss: 1.192900538444519
Running loss: 2.050255060195923, z loss: 0.8676797747612, y loss: 1.1825752258300781
Running loss: 2.0228219032287598, z loss: 0.8601516485214233, y loss: 1.1626702547073364
Running loss: 2.0049171447753906, z loss: 0.8503100275993347, y loss: 1.1546069383621216
Running loss: 1.9713356494903564, z loss: 0.8326359391212463, y loss: 1.1386995315551758
Running loss: 1.9663935899734497, z loss: 0.8383911848068237, y loss: 1.1280021667480469
Running loss: 1.9430468082427979, z loss: 0.8416075110435486, y loss: 1.101439118385315
Running loss: 1.9050501585006714, z loss: 0.8273842334747314, y loss: 1.0776658058166504
Running loss: 1.864497184753418, z loss: 0.8066174387931824, y loss: 1.0578795671463013
Running loss: 1.8218172788619995, z loss: 0.7968193292617798, y loss: 1.0249978303909302
Running loss: 1.8085168600082397, z loss: 0.7998606562614441, y loss: 1.0086561441421509
Running loss: 1.7639821767807007, z loss: 0.7850751876831055, y loss: 0.9789068102836609
Running loss: 1.7264684438705444, z loss: 0.7761152982711792, y loss: 0.9503530263900757
Running loss: 1.6798949241638184, z loss: 0.7611545920372009, y loss: 0.9187402725219727
Running loss: 1.6551858186721802, z loss: 0.752099871635437, y loss: 0.9030858278274536
Running loss: 1.6306140422821045, z loss: 0.751261830329895, y loss: 0.8793521523475647
Running loss: 1.6034228801727295, z loss: 0.7460842132568359, y loss: 0.8573386073112488
Running loss: 1.6057209968566895, z loss: 0.7445248365402222, y loss: 0.8611961603164673
Running loss: 1.5752766132354736, z loss: 0.7324113845825195, y loss: 0.8428652286529541
Running loss: 1.5343072414398193, z loss: 0.7146166563034058, y loss: 0.8196905851364136
Running loss: 1.5052363872528076, z loss: 0.7081895470619202, y loss: 0.7970468997955322
